Region;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Promedio;COD_REGION
Gran Buenos Aires;2,25;2,26;2,26;2,25;2,28;2,27;2,261666667;1,00
Cuyo;2,4;2,41;2,4;2,39;2,43;2,42;2,408333333;40,00
Noreste;2,11;2,11;2,11;2,1;2,13;2,13;2,115;41,00
Noroeste;2,09;2,1;2,09;2,08;2,11;2,11;2,096666667;42,00
Pampeana;2,25;2,26;2,26;2,24;2,28;2,27;2,26;43,00
Patagonia;2,56;2,56;2,56;2,55;2,59;2,58;2,566666667;44,00
