Region;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Promedio;COD_REGION
Gran Buenos Aires;16.008,28;17.148,80;18.359,84;20.098,92;20.715,93;21.743,48;19.012,54;1,00
Cuyo;14.278,69;15.277,66;16.397,39;17.900,77;18.466,99;19.421,19;16.957,12;40,00
Noreste;14.360,65;15.431,25;16.592,26;18.089,37;18.575,40;19.400,06;17.074,83;41,00
Noroeste;13.830,16;14.857,89;16.025,63;17.489,68;17.983,28;18.753,56;16.490,03;42,00
Pampeana;15.799,80;16.920,96;18.181,19;19.868,33;20.496,22;21.553,48;18.803,33;43,00
Patagonia;16.559,79;17.820,85;19.189,73;20.974,31;21.533,95;22.586,55;19.777,53;44,00
